ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_17_AG_Total,E_17_AG_Dem,E_17_AG_Rep,E_17_LTG_Total,E_17_LTG_Dem,E_17_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep,E_21_AG_Total,E_21_AG_Dem,E_21_AG_Rep,E_21_LTG_Total,E_21_LTG_Dem,E_21_LTG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,702994,540529,25796,97876,35577,6771,924,0,0,754435,557605,34987,110000,49703,7149,1447,0,0,784256,554931,42379,115690,56286,15824,1622,784672,555614,42300,115275,56289,15816,1607,764441,560656,36909,110826,52518,7192,1467,96487,43255,1288,327,2135,23385,790658,569750,40001,116960,54917,9841,1563,535451,420311,16643,71114,24494,4649,570,0,0,561140,438634,16969,78789,21514,4367,142,75774,18641,1250,1466,0,610718,446165,27183,86550,38732,11265,1050,610718,446165,27183,78847,33638,1720,296,2466,20403,566904,441547,18570,78879,22570,4109,167,0,0,0,0,0,588421,453138,20475,83186,25193,5187,218,78567,21070,836,218,602286,455160,24503,86750,28598,5163,434,80500,24320,794,434,380595,156139,220998,391250,156432,234818,410156,164366,220149,287534,127074,157130,286263,122881,163085,286390,122397,163699,358589,172429,178688,404240,178444,218822,461129,210907,241626,455445,214319,240734,372573,154163,216046,371382,155186,215929,371092,154657,216103,437224,198904,235616,486595,227074,250992,480649,231533,248580
2,2,732162,466426,40358,184368,42030,8181,2097,0,0,763154,468919,52908,194119,50682,9564,2584,0,0,785438,460929,58634,198556,58740,18412,3430,784672,460930,58585,197372,58781,18413,3415,766650,466989,55237,195004,53386,10018,2136,170232,38905,1138,423,2262,31461,783870,469671,59136,199953,56897,11349,2937,554474,367282,25699,130385,29673,5700,1324,0,0,570132,370733,28951,135177,28141,4900,472,130254,23968,1086,2972,0,609706,373699,38349,146054,42343,13177,2227,609706,373699,38349,132784,33853,1713,719,2727,25862,574153,372087,30341,135422,29221,4799,342,0,0,0,0,0,589033,376880,34158,139505,31174,5206,298,132998,25865,789,298,593149,373979,36846,140680,33550,4889,447,133356,27396,900,447,347678,168225,176167,344655,166321,178334,359148,159063,178908,231402,116608,112183,229827,112266,117363,230064,109715,120195,296155,155642,134437,340894,164552,170655,404141,202122,193849,399433,207894,191188,296083,130819,163183,294748,132051,162488,294600,130611,163730,368765,181000,185613,414142,203182,204265,409074,209618,198990
3,3,768599,340739,44260,360239,27587,11233,2482,0,0,770600,323256,55784,363282,32894,11087,2672,0,0,779587,303742,65145,372268,35490,19534,3678,784672,305016,65272,375303,35513,19540,3673,771161,317983,58014,365515,34046,11317,3411,334398,22386,2031,737,2802,32808,777686,312163,62143,370733,34726,12603,3383,591167,282388,30449,258186,20422,8000,1643,0,0,581967,267778,30293,258787,16776,6125,659,252369,13668,1923,2992,0,613711,257534,45253,278424,27101,14548,2531,613711,257534,45253,258411,19719,2164,1039,3037,26554,581569,264514,31891,259499,17222,5914,510,0,0,0,0,0,585271,261092,33869,264236,17858,5555,436,255160,14542,1293,436,583704,253711,38028,264083,19003,6204,365,253339,15157,1430,365,337403,226263,108264,327295,225780,101515,316813,202649,97251,202888,140013,60273,201438,137409,63785,201784,136203,65336,250683,177907,68420,281613,189302,87694,338599,230248,101373,333116,234187,98511,228319,144581,80976,227182,146449,80459,227169,144542,82323,293388,197798,93728,320971,213122,102209,316783,218139,98231
4,4,732855,331588,45723,336849,18854,8347,1283,0,0,769614,335757,57869,353770,21576,10198,1338,0,0,787373,331764,77372,345038,26343,16159,1713,784672,330482,77370,343158,26279,16152,1679,772842,333695,59767,357317,21542,9712,1117,334397,14985,1989,330,2482,25202,783533,331952,68029,359701,23950,10852,1232,571973,276569,31006,248432,14815,6117,843,0,0,585156,281196,20619,264751,12045,5683,346,258595,10153,1872,2265,0,629882,284553,52022,265407,21090,12300,1171,629882,284553,52022,250902,16093,2216,386,2832,20878,589920,281576,22419,267493,11762,5962,415,0,0,0,0,0,601990,284508,27775,268932,13895,5996,488,260205,11312,1181,488,604179,283037,34114,265523,14102,6634,499,255850,11134,1127,499,343146,221582,118108,350890,230498,120392,357428,226456,114324,235925,156061,77188,234669,154440,80000,234820,154377,80248,299167,207391,87145,333237,219074,109270,394395,264454,123594,387947,265892,121689,283059,173665,104698,281599,176918,104297,281699,176055,105216,350468,231340,116856,383730,250985,125928,377264,255668,120996
5,5,763535,540470,21883,182335,15558,6355,632,0,0,780030,549724,28373,179139,19746,6682,791,0,0,788614,538041,33735,178497,24318,14394,1077,784672,537094,33229,175937,24169,14263,1058,782914,550032,29240,179359,20584,6732,746,164508,15625,1630,217,1476,20185,790159,550939,31786,179173,21256,7639,1012,603510,436728,14871,137150,11907,4639,423,0,0,608769,448380,12011,134738,8979,4418,216,130439,7292,1235,1117,0,634064,443770,22567,137809,18796,10716,689,634064,443770,22567,129865,15502,1485,183,2393,18299,613123,451544,12418,134650,9758,4243,186,0,0,0,0,0,622012,457214,14620,134089,11189,4486,248,128805,8749,977,248,627283,457729,17797,133028,11847,5576,287,127401,8963,632,287,370406,173289,192400,375590,170535,205055,391600,163720,207979,259167,115342,141114,257356,113688,143456,257350,111529,145594,331070,157767,166766,375227,164595,205193,435323,195887,231760,430056,204858,224822,335175,132221,200984,333444,134149,199078,333239,132493,200452,401671,176045,223689,444090,191693,246006,437699,197142,239958
6,6,740741,622266,37500,66536,11578,5710,782,0,0,766443,623280,50159,78305,16618,6278,1056,0,0,783180,611794,61818,76415,18296,16611,1175,784672,613429,61812,76003,18312,16594,1171,771832,623582,51731,78740,17215,6963,1193,61372,12098,1250,425,1721,19654,783973,622826,57044,80956,17843,7721,1434,580271,499632,23530,46182,8338,4112,529,0,0,585226,505917,18116,49056,7787,3403,305,45924,6370,1298,1297,0,622681,503600,39734,53948,13352,12214,758,622681,503600,39734,46998,10214,1174,238,1956,18767,590686,507299,19821,50176,8552,3913,322,0,0,0,0,0,601069,512087,21908,52222,9744,3956,520,47880,7275,620,520,603898,507622,27116,52879,10529,4634,349,47246,7925,616,349,327317,138412,184117,326495,132797,193698,349889,119913,209513,222969,85648,134364,221015,84534,136266,221338,80962,140163,285809,118061,161978,336788,125572,205925,398936,151507,239666,394994,163719,230928,300083,99319,198745,298464,102562,195663,298289,100409,197560,367241,139139,226314,410905,152726,251675,405589,164513,240472
7,7,673488,408840,83922,148419,33222,9314,1922,0,0,752279,418550,116399,175587,45283,8621,2620,0,0,783688,397791,136593,185357,56338,21409,2812,784672,398366,136766,185105,56343,21407,2799,764800,418453,119452,179738,50105,9037,2431,151604,37109,2040,538,2831,32772,786095,414136,129306,188542,55042,12373,2471,489874,312560,53273,100511,22452,6066,1195,0,0,516069,324056,48167,114080,22679,4357,579,108274,19198,1884,2580,0,585236,316916,89659,131330,39005,14988,1784,585236,316916,89659,117019,30918,1648,638,3192,25246,526122,326228,50920,116759,24794,4348,490,0,0,0,0,0,542646,326122,59341,121308,27860,4768,468,114072,23394,1095,468,556254,322471,66488,127432,31395,4692,480,118944,25949,697,480,286315,149861,133690,299496,155326,144170,329818,158995,151848,202792,105776,94659,201714,104470,97021,201854,103937,97663,276198,153862,117014,321042,164133,151558,390486,204622,178344,385058,207442,177255,274779,129083,143487,273520,131411,141892,273654,130642,142757,353772,181456,169677,404061,203210,191700,398465,212359,185236
8,8,713627,387959,135830,99773,90571,8088,1768,0,0,779907,407592,151674,114767,107628,8393,2373,0,0,784093,387617,160425,112635,117143,16095,2007,784672,387772,160598,112674,117170,16093,2004,781758,406055,148532,117770,108975,8152,2146,102027,91330,1153,592,3595,28473,778402,395701,148660,119838,110866,10418,2140,570612,325742,99040,75125,70332,5950,1296,0,0,510437,322445,56661,68669,57171,2989,416,65135,51241,786,2372,0,619604,323268,114046,86661,89901,11991,1449,619604,323268,114046,76006,78643,756,408,3295,23182,519346,324341,58970,71900,59277,2741,456,0,0,0,0,0,525915,319221,64207,74814,62147,3327,348,70177,54367,867,348,529590,311840,70357,77488,64738,3478,215,71344,56959,605,215,338864,231108,104805,347891,237331,110560,366045,264655,75619,253696,191863,59428,252105,189103,62724,251876,188732,62860,319694,249154,62158,340947,255556,78042,396010,303882,83638,392605,299249,92859,288092,208202,77890,285440,208740,76354,285888,208456,76924,355832,265503,86703,390212,285004,92725,385808,287851,96800
9,9,816889,734344,16456,50801,11450,4791,476,0,0,798970,706528,19691,55079,14631,5268,1070,0,0,786392,675557,23618,54311,17215,14293,878,784672,675667,23444,52552,17100,14286,862,796614,703205,20156,54604,14851,5506,1028,46159,12261,1630,325,1057,11819,785573,687994,22218,53744,15781,5645,952,655259,593843,10737,38371,9066,3740,342,0,0,639675,579404,9128,40140,6661,3600,217,38136,5772,1318,989,0,640412,556950,15730,41051,13826,11118,582,640412,556950,15730,36473,11437,1028,133,1658,17003,638119,577147,9553,39800,7099,3997,259,0,0,0,0,0,630654,567195,11409,39505,8230,3505,419,36930,6820,725,419,625274,559466,13217,39203,8259,4287,389,36113,6560,669,389,352846,139118,207443,346667,121449,225218,365400,99310,250107,230499,71329,156527,228269,70974,157072,228020,68832,158956,286491,98107,184039,338583,98577,235944,401339,113688,281828,395491,133943,261142,297273,73863,221660,295465,76074,219179,294923,75582,219046,365505,106815,257307,408547,112210,291613,401114,132031,268488
